Convinaciones: 	antes	imagen	despues
AB	pica	Abeja	Molesta
AC	Capucha	Assassin´s 	Corre
AC	granos	Acne (elmer)	Estripa
AD	alfombra	aladin	frotar
AE	Cabello fuego	Ares	poder
AF	Afro	peludo	Afeitandose
AG	Camisa	Abuelo Gohan	picante (saca lengua)
AH	Ralla	jam	alcancia (alzar)
AI	Traje	iroman	luz
AJ	Cae ojo	Aj	Saco A
AK	Amaca	Akali	Ak 47 (cargar)
AL	Risa	Alejo	Alejarse
AM	Corazon	America (diablo)	Ojos (chavo)
AN	Anillo	Android	dispara brazo
AO	escupe fuego	Aochi	montar
AP	boso(cantinflas)	Apu	apolo (estatua)
AQ	akira(Bufanda)	Akira	Acostarse
AR	aro de fuego	Araña	Aristoteles (filosofar)
AS	Asintota	chino (asia)	aspirar
AT	atl nacional	Atun	nalga (mocus)
AU	erida	Auronplay	lobo
AV	pasajero	avion	manos
AW	aguacate	teorema(chile)	tierno (gato shrek)
BA	banano	Baal	cargar a…
BC	serpiente	bicky	estubo aquí
BD	venda (BLD)	jefferson BLD 	Solve (BLD)
BE	corbata	beto reyes	teclear (pc apagado)
BF	pantalla bafle	bafle	bailar
BG	medias rotas	botija	colgar costal
BH	palillo	bichos (palito)	circo (malabares)
BI	collar	bills	pisar (roca)
BJ	casco	buzz	al infinito y mas alla
BK	cicatriz (X)	bardock	enrrolla cola
BL	dientes (pelos)	ballena	agua por cabeza
BM	gorro	bomberman	caga bomba
BN	pelo	bnet	metricas
BO	cabeza (antena)	majin boo	chocolate (convertir)
BP	nariz	calavera	cruzar brazos (peligro)
BQ	ojos blancos	broly	puño piso
BR	cola gato	burro	decir  "burro"
BS	basura	bad bunny	Basuraaa (mks)
BT	bta (pelo rojo)	batman	bati señal
BU	senos	bulma	saca esferometro
BV	huecos en cara	bob esponja	imaginacion
BW	cuatro antenas	boggy	mueve gelatinoso
CA	leche magnesia	Camilo	tomar aguardiente
CB	cebolla	caballo	relinchar
CD	CD	candas	señala y desaparece
CE	casco	cell	pisa y crecen alas
CF	café	cantinflas	baile (cantinflas)
CG	pinzas	cangrejo	caminar de lado
CH	gorra	chavo	patalear
CI	cinturon (redbull)	chuty	cicla (pedalear)
